#{"t_start": 1763982156.1202092, "env_id": "None"}
r,l,t
1.068108,24,0.042086
1.622131,24,0.059551
0.145056,24,0.081115
1.971481,24,0.091476
0.934361,24,0.110144
-0.258563,24,0.120633
1.260723,24,0.130612
2.006842,24,0.138475
0.562232,24,0.149631
1.390575,24,0.15968
1.283122,24,0.179295
0.745364,24,0.191952
1.254639,24,0.227038
1.220579,24,0.241253
-1.230856,24,0.249642
1.450999,24,0.258655
-0.558887,24,0.273698
0.912949,24,0.280618
1.051793,24,0.290462
0.064936,24,0.291428
2.448499,24,0.309612
1.252539,24,0.312536
2.543403,24,0.32731
-0.376328,24,0.336397
-1.244972,24,0.348724
1.129976,24,0.357165
2.237891,24,0.360666
-1.346846,24,0.372731
-0.689601,24,0.380625
1.815586,24,0.394708
-1.794877,24,0.406163
-0.877934,24,0.417069
0.117915,24,0.434583
0.549945,24,0.447
1.567898,24,0.460669
1.936717,24,0.472262
1.658903,24,0.536259
-0.241111,24,0.568444
0.808341,24,0.603579
1.906151,24,0.638653
2.160634,24,0.681557
-1.000571,24,0.709644
1.79962,24,0.72421
-1.354344,24,0.736255
2.838412,24,0.758846
0.347373,24,0.770894
0.292049,24,0.783242
-0.382753,24,0.797292
-0.720623,24,0.810784
-0.671527,24,0.823219
0.026333,24,0.836012
1.65122,24,0.848748
0.237993,24,0.868348
1.158587,24,0.882349
1.389575,24,0.894854
0.379886,24,0.906415
2.062169,24,0.92061
-0.548624,24,0.932813
0.901678,24,0.945515
-1.524533,24,0.959454
0.092083,24,0.978608
-0.473898,24,0.993633
1.656632,24,1.005006
0.524865,24,1.016313
-0.284917,24,1.032829
-0.868819,24,1.047912
2.053272,24,1.06061
1.909408,24,1.06061
0.729043,24,1.073659
2.638208,24,1.088335
-1.27191,24,1.100963
2.145981,24,1.11287
-1.25142,24,1.128808
2.105088,24,1.142416
-0.289986,24,1.15535
2.58672,24,1.168882
-1.458403,24,1.179619
0.188093,24,1.191311
-0.543363,24,1.199571
0.561131,24,1.212142
0.894017,24,1.320868
2.7901,24,1.359692
0.321041,24,1.407359
-1.161744,24,1.444882
2.58209,24,1.495601
2.147002,24,1.51344
2.784563,24,1.527781
0.068889,24,1.540872
-0.781996,24,1.558794
-0.230292,24,1.567635
2.195747,24,1.576513
0.460596,24,1.585565
0.401573,24,1.749468
-1.407393,24,1.7849
1.427556,24,1.808567
-0.819967,24,1.839719
1.209419,24,1.989839
0.03192,24,2.057412
0.401039,24,2.080837
2.435943,24,2.110811
2.360551,24,2.310841
0.552606,24,2.336579
1.645996,24,2.360301
1.302004,24,2.389985
1.218661,24,2.440946
3.686132,24,2.47191
-0.019042,24,2.498904
0.965331,24,2.528574
0.269733,24,2.560846
-1.38058,24,2.590776
-1.278027,24,2.626036
0.728472,24,2.648638
-0.872324,24,2.680815
2.265969,24,2.710839
-0.083889,24,2.740704
-0.29756,24,2.77292
2.647923,24,2.810811
2.009159,24,2.84418
0.377186,24,2.859877
0.227445,24,2.893312
2.279547,24,2.93152
2.010194,24,2.958898
1.499893,24,2.980803
0.591303,24,3.009896
1.510146,24,3.050889
0.363502,24,3.081171
2.989925,24,3.105218
-1.47945,24,3.129416
0.381376,24,3.168832
0.934002,24,3.190743
-2.491588,24,3.21096
1.058508,24,3.240924
1.25887,24,3.284445
2.057886,24,3.307241
-1.060594,24,3.339931
-0.0531,24,3.359811
-0.787171,24,3.405076
1.054335,24,3.428548
1.2338,24,3.450822
0.426095,24,3.460706
-1.194771,24,3.485843
-0.033314,24,3.500697
0.153725,24,3.512923
0.897588,24,3.523637
1.493666,24,3.540692
0.221165,24,3.550691
-1.893551,24,3.560688
2.014878,24,3.574983
-1.145385,24,3.594374
0.049524,24,3.606048
0.926874,24,3.609719
0.761067,24,3.62869
0.871261,24,3.640912
-1.01022,24,3.650725
0.623095,24,3.660711
1.219701,24,3.673675
-0.962596,24,3.69077
-0.769631,24,3.705003
-1.265266,24,3.711466
2.558544,24,3.730369
1.072255,24,3.74079
0.2994,24,3.754984
-1.579065,24,3.763626
2.573274,24,3.773674
1.609352,24,3.789977
1.605046,24,3.799772
-1.914968,24,3.811315
-0.97718,24,3.823587
-0.197638,24,3.851287
1.444941,24,3.860732
2.454842,24,3.872701
0.607418,24,3.886662
0.559373,24,3.900722
2.075757,24,3.910683
2.379788,24,3.923942
-0.76642,24,3.935751
2.30287,24,3.95069
2.242316,24,3.959703
2.314253,24,3.978802
-0.255044,24,3.99139
-1.830749,24,4.007048
-0.779184,24,4.010722
1.915437,24,4.035751
0.470568,24,4.041221
1.625266,24,4.070711
0.668363,24,4.084007
1.815084,24,4.089813
-0.984835,24,4.106939
2.64695,24,4.110647
1.899807,24,4.128737
1.878629,24,4.136307
0.811403,24,4.139841
0.78448,24,4.159596
1.459278,24,4.168469
2.389954,24,4.173611
0.240306,24,4.185997
0.068731,24,4.190817
-0.961701,24,4.206985
0.354633,24,4.210691
2.007902,24,4.233204
2.156748,24,4.240738
1.144626,24,4.257004
-0.035666,24,4.268857
-0.311181,24,4.280717
0.663232,24,4.291455
1.334032,24,4.30701
1.653263,24,4.318833
-1.450493,24,4.330724
0.175891,24,4.35072
-0.062377,24,4.381845
2.318376,24,4.403546
1.520878,24,4.410654
0.566118,24,4.423893
1.369634,24,4.430995
-0.233024,24,4.440804
-0.033265,24,4.450522
1.055346,24,4.460619
2.056027,24,4.467166
-0.107963,24,4.473533
1.561499,24,4.483673
0.793471,24,4.504928
-0.068794,24,4.511013
2.822119,24,4.518781
-0.743389,24,4.522617
0.330019,24,4.540658
0.070196,24,4.54988
1.289794,24,4.559783
1.508466,24,4.560808
1.142456,24,4.58969
-1.709882,24,4.600723
0.010683,24,4.610682
0.827024,24,4.632066
0.898103,24,4.647755
1.018729,24,4.660688
-1.412094,24,4.673578
-0.380034,24,4.685932
1.255849,24,4.700742
0.724678,24,4.710722
1.273632,24,4.723562
-0.742188,24,4.739863
1.488002,24,4.754998
2.101485,24,4.776866
-1.090066,24,4.790783
2.088636,24,4.800375
-0.188954,24,4.81881
-1.24402,24,4.831288
1.478431,24,4.843421
1.735377,24,4.856268
-1.345184,24,4.873219
-0.043628,24,4.885884
0.454076,24,4.889739
0.684869,24,4.900666
1.134138,24,4.910642
0.881615,24,4.922598
0.775031,24,4.929643
1.959016,24,4.935754
0.594442,24,4.940722
0.553334,24,4.952317
0.716594,24,4.959498
0.910882,24,4.970878
0.265958,24,4.980691
1.182756,24,4.989934
1.191607,24,5.000747
1.593189,24,5.010705
-0.038512,24,5.022881
1.863688,24,5.040477
1.003208,24,5.050786
1.679526,24,5.060755
2.022128,24,5.083744
-1.884315,24,5.090721
0.944424,24,5.107356
2.625773,24,5.119751
0.771191,24,5.138986
-2.494779,24,5.153975
-0.97635,24,5.160696
0.589587,24,5.181054
1.04952,24,5.190775
-1.337762,24,5.209691
2.560878,24,5.219684
1.566791,24,5.230689
0.767468,24,5.249695
0.971363,24,5.263397
-0.214458,24,5.273745
-0.840332,24,5.288308
-2.898753,24,5.304972
0.254301,24,5.313565
1.525453,24,5.328683
1.375271,24,5.339904
1.641142,24,5.350719
1.723693,24,5.363602
1.387675,24,5.378696
-0.102101,24,5.400857
-0.369968,24,5.41093
0.852544,24,5.430557
2.143255,24,5.440792
-0.558779,24,5.46079
0.894937,24,5.472629
0.385066,24,5.490678
1.011841,24,5.498887
1.132662,24,5.509652
1.065334,24,5.529691
2.817754,24,5.539903
1.677757,24,5.549704
-0.038637,24,5.562422
2.367779,24,5.580697
2.499724,24,5.590775
1.363982,24,5.609741
-0.891449,24,5.621538
2.250545,24,5.637269
2.353454,24,5.648851
2.00942,24,5.660722
1.478364,24,5.672585
-1.271113,24,5.685814
-0.759368,24,5.690745
0.215054,24,5.705897
0.942113,24,5.720043
-0.230233,24,5.732409
-1.24338,24,5.740742
2.893453,24,5.762917
1.143463,24,5.77704
1.645589,24,5.800112
2.122746,24,5.814086
-0.436597,24,5.831332
0.658404,24,5.840848
1.14124,24,5.855887
0.65948,24,5.860665
0.681055,24,5.87252
2.453394,24,5.880663
0.569992,24,5.890793
2.504448,24,5.906939
1.850622,24,5.910701
0.647173,24,5.929597
1.654251,24,5.940749
2.255838,24,5.950948
-0.644889,24,5.961976
0.846662,24,5.974702
1.214045,24,5.990724
-1.055282,24,6.000681
1.573915,24,6.009662
0.411133,24,6.01066
-0.763857,24,6.029702
-0.962736,24,6.038819
0.610256,24,6.048775
-0.47639,24,6.055905
0.939424,24,6.068894
-0.733177,24,6.073523
-0.839351,24,6.092608
-0.464536,24,6.100721
-0.990439,24,6.118821
1.906617,24,6.131935
0.41951,24,6.140819
0.198043,24,6.156528
3.64459,24,6.173533
2.597002,24,6.185754
0.260785,24,6.19081
0.704498,24,6.209552
0.902974,24,6.224568
1.663813,24,6.235948
2.315103,24,6.247917
1.245749,24,6.262396
2.928773,24,6.272591
-0.379496,24,6.289807
-0.781251,24,6.300768
1.875889,24,6.310692
2.654021,24,6.328602
1.886194,24,6.340791
-1.226973,24,6.352932
0.08284,24,6.360824
0.34113,24,6.380744
-1.02442,24,6.389832
1.989815,24,6.409688
0.661383,24,6.422563
1.04576,24,6.440047
-0.640955,24,6.455902
0.157035,24,6.468177
0.192647,24,6.479882
1.268604,24,6.490779
-0.741045,24,6.508989
2.269256,24,6.52455
-2.435569,24,6.532775
-0.108997,24,6.551001
-1.290276,24,6.560689
1.022189,24,6.570673
-0.526346,24,6.579727
0.138599,24,6.58973
-0.701548,24,6.597778
1.647251,24,6.609663
-0.702227,24,6.610691
2.332938,24,6.630906
-1.068869,24,6.638757
1.012834,24,6.638757
-0.990531,24,6.654851
1.031771,24,6.659714
-0.996615,24,6.672512
-2.354513,24,6.679662
0.181797,24,6.686285
0.457111,24,6.690733
1.946853,24,6.70065
0.772132,24,6.710166
1.408773,24,6.719671
1.650594,24,6.729651
1.722653,24,6.737221
1.252183,24,6.740665
0.798867,24,6.754838
-0.502023,24,6.761174
1.118284,24,6.778713
0.579688,24,6.788795
-1.458979,24,6.800231
1.721694,24,6.810666
0.248001,24,6.821543
0.811075,24,6.830664
0.487506,24,6.840782
0.321742,24,6.856896
2.144487,24,6.859512
-1.457077,24,6.881539
-0.418442,24,6.890713
2.654616,24,6.910705
0.734358,24,6.922494
2.292873,24,6.932266
2.146301,24,6.940745
0.122524,24,6.960764
1.945738,24,6.973489
1.074701,24,6.992237
-0.333074,24,7.000726
-0.816067,24,7.021017
1.167305,24,7.035782
2.012328,24,7.040787
1.716591,24,7.055855
2.394147,24,7.060686
-1.197875,24,7.074456
2.035323,24,7.082952
-0.053472,24,7.09066
-1.183405,24,7.100622
0.110335,24,7.109556
0.533789,24,7.118198
1.045134,24,7.126381
0.571135,24,7.133449
-0.089782,24,7.140714
-1.015194,24,7.149415
-0.41085,24,7.155826
-0.80595,24,7.161084
1.261499,24,7.173409
1.990263,24,7.180649
1.062645,24,7.190681
1.848516,24,7.200676
-0.159906,24,7.209644
0.858858,24,7.210641
0.014876,24,7.222501
-0.878092,24,7.236122
-0.271023,24,7.240693
0.101471,24,7.251773
1.891775,24,7.260663
0.98995,24,7.272535
-0.897398,24,7.288848
0.914451,24,7.302506
-0.977253,24,7.310664
-0.908654,24,7.334769
1.27615,24,7.339695
1.946783,24,7.350667
1.886219,24,7.36069
0.774938,24,7.374612
1.096253,24,7.385766
1.191387,24,7.389977
2.21037,24,7.414092
0.384028,24,7.428623
-0.370974,24,7.439906
1.850978,24,7.450692
0.539852,24,7.460743
0.009963,24,7.474689
0.813456,24,7.48944
-0.61386,24,7.500738
1.830733,24,7.513177
2.105569,24,7.532767
0.472562,24,7.539939
-0.498868,24,7.555855
0.67758,24,7.560646
0.234892,24,7.573445
-0.359362,24,7.589686
-2.142471,24,7.603439
-0.008467,24,7.611931
0.637158,24,7.63985
-0.01042,24,7.6479
1.806542,24,7.659484
2.887917,24,7.672428
-0.168583,24,7.688789
1.755147,24,7.698592
-0.947582,24,7.710692
1.558643,24,7.722691
2.850289,24,7.739806
1.538708,24,7.750652
2.163572,24,7.760727
1.130926,24,7.778637
-0.933705,24,7.789824
0.88235,24,7.805923
1.541964,24,7.810736
-0.870244,24,7.833068
1.58296,24,7.849482
2.227572,24,7.860709
1.26859,24,7.873481
2.419884,24,7.880692
-1.897909,24,7.90046
1.119868,24,7.910694
1.38855,24,7.922685
-0.456099,24,7.938514
-0.476413,24,7.950727
1.222391,24,7.95949
1.780358,24,7.973477
-1.271173,24,7.985803
1.185693,24,8.000735
-0.729406,24,8.012287
0.296706,24,8.031062
1.636471,24,8.04285
1.87355,24,8.054794
1.593979,24,8.060669
0.089522,24,8.073473
-0.643068,24,8.085791
-0.397094,24,8.100729
1.14902,24,8.110696
0.137854,24,8.124077
1.351056,24,8.136078
-0.406813,24,8.155142
1.544989,24,8.160745
-0.967889,24,8.178406
-0.685215,24,8.190688
-0.000508,24,8.200669
-0.974841,24,8.209635
-1.508879,24,8.210661
1.971562,24,8.224156
0.325434,24,8.233718
0.591618,24,8.240643
-1.490524,24,8.240643
1.767916,24,8.253399
0.653141,24,8.259933
0.863003,24,8.270676
2.070828,24,8.272419
0.084182,24,8.280637
2.182776,24,8.290633
3.029466,24,8.298837
1.655664,24,8.308893
0.899111,24,8.309919
-0.691107,24,8.328452
1.137381,24,8.338114
0.765212,24,8.340716
-0.672392,24,8.358767
2.182715,24,8.371437
1.246346,24,8.380639
0.761912,24,8.389711
-0.004324,24,8.399647
-1.683327,24,8.408762
-0.032474,24,8.421404
0.522999,24,8.432296
1.082083,24,8.440718
1.485685,24,8.45477
1.795707,24,8.46066
1.588318,24,8.473425
1.341604,24,8.480731
1.532651,24,8.498986
0.999452,24,8.510731
-1.421291,24,8.523683
0.231975,24,8.534268
1.406459,24,8.550728
-0.579562,24,8.560758
1.190619,24,8.574812
-1.001245,24,8.588193
1.086417,24,8.60074
3.180667,24,8.610693
0.806029,24,8.623444
1.441466,24,8.640388
0.599089,24,8.654819
1.526221,24,8.660804
1.029056,24,8.680723
1.786996,24,8.688772
1.15631,24,8.70684
2.802046,24,8.718524
0.086371,24,8.730697
1.282169,24,8.74497
-0.169629,24,8.759545
0.121184,24,8.772484
2.004236,24,8.78612
2.21057,24,8.799694
1.814355,24,8.810673
1.374308,24,8.822474
0.496769,24,8.842765
1.820299,24,8.85841
0.149967,24,8.873373
-0.266723,24,8.880692
-0.749244,24,8.894825
0.556536,24,8.906831
1.981403,24,8.922634
-0.820182,24,8.934431
1.271955,24,8.94975
-1.201043,24,8.959848
-0.268268,24,8.973795
2.063588,24,8.988716
1.023183,24,9.00073
-0.56694,24,9.010696
1.390884,24,9.028629
1.627999,24,9.038761
-1.581193,24,9.055841
1.225447,24,9.069693
2.637313,24,9.08069
0.749663,24,9.090005
1.05656,24,9.109691
1.420511,24,9.120727
-1.46188,24,9.134801
0.745264,24,9.139792
1.579975,24,9.160798
2.130024,24,9.174316
0.512091,24,9.190783
2.146019,24,9.201779
0.127384,24,9.210699
1.226125,24,9.224547
0.755711,24,9.242099
0.90483,24,9.253854
1.10474,24,9.268937
-1.188108,24,9.281778
0.486193,24,9.300688
0.891507,24,9.322593
0.401744,24,9.335093
-0.866997,24,9.340752
2.233668,24,9.361349
0.482958,24,9.388668
1.371233,24,9.398872
1.342996,24,9.409945
1.862104,24,9.421414
0.794353,24,9.429643
0.300962,24,9.435715
-0.073246,24,9.440687
1.271887,24,9.455741
-0.411413,24,9.460689
-1.404425,24,9.473099
0.811598,24,9.480678
-0.569702,24,9.498919
0.2846,24,9.506741
0.552472,24,9.510684
0.642743,24,9.522398
-0.448912,24,9.535265
2.267207,24,9.540682
-0.72501,24,9.554739
-0.470709,24,9.569679
-1.180505,24,9.580708
0.021647,24,9.594611
2.580948,24,9.600708
-0.249284,24,9.610707
1.556132,24,9.622563
-1.050968,24,9.635205
-1.165221,24,9.644614
-1.383059,24,9.655744
-1.192059,24,9.669722
-0.483682,24,9.679669
2.485199,24,9.689657
1.263098,24,9.700578
-0.288339,24,9.710671
0.141246,24,9.723372
0.309871,24,9.733818
2.357691,24,9.740742
-0.293708,24,9.756714
0.378825,24,9.760669
2.373274,24,9.773374
1.373629,24,9.7807
1.635427,24,9.790674
-0.991792,24,9.808955
2.517848,24,9.82134
1.352786,24,9.830671
1.850025,24,9.840769
1.236936,24,9.854733
-1.71726,24,9.860693
0.641372,24,9.873411
2.071839,24,9.891854
-1.439052,24,9.906382
3.224814,24,9.919692
0.541991,24,9.930664
0.264946,24,9.949505
-1.32852,24,9.960722
0.546886,24,9.972321
1.369811,24,9.983411
1.807959,24,9.990714
-0.018429,24,10.010725
1.803196,24,10.0271
1.875303,24,10.040417
-0.496786,24,10.056815
1.160282,24,10.06878
2.743966,24,10.080693
0.41802,24,10.090675
-1.71763,24,10.112985
-2.326603,24,10.122406
1.714938,24,10.139768
0.050576,24,10.150255
0.914357,24,10.160737
1.180281,24,10.180729
2.381773,24,10.190776
-1.025811,24,10.200945
1.565934,24,10.21069
0.423278,24,10.222263
2.440423,24,10.235983
2.232253,24,10.24071
1.442899,24,10.259912
1.045808,24,10.272334
1.485812,24,10.27896
0.794829,24,10.290763
1.372887,24,10.305615
1.309067,24,10.319681
1.987248,24,10.33174
0.607997,24,10.345088
0.07435,24,10.360698
-0.336705,24,10.373371
-0.57748,24,10.385815
0.248101,24,10.399684
1.323803,24,10.413782
0.788071,24,10.424425
1.409286,24,10.441994
0.745796,24,10.454726
1.921568,24,10.460763
0.133042,24,10.480726
-0.901759,24,10.488853
-1.470035,24,10.500722
0.315156,24,10.510725
-1.868467,24,10.528419
-0.21378,24,10.539795
0.576181,24,10.555717
3.789041,24,10.5724
-0.861114,24,10.585798
1.96417,24,10.590775
-1.301862,24,10.610725
0.558882,24,10.629693
1.455535,24,10.639736
1.036619,24,10.640766
2.360056,24,10.660655
2.458019,24,10.671331
0.849684,24,10.68067
2.472149,24,10.693883
0.413794,24,10.702448
-0.123374,24,10.716299
2.192858,24,10.723658
-1.087839,24,10.730668
1.372862,24,10.738918
1.273977,24,10.749058
1.999567,24,10.756626
1.642668,24,10.760652
1.490248,24,10.773281
0.806787,24,10.780678
-0.91933,24,10.794768
-0.669532,24,10.802111
0.626766,24,10.809649
0.612506,24,10.820684
-1.69013,24,10.828895
1.117424,24,10.835999
1.377861,24,10.840681
1.695841,24,10.855684
1.652399,24,10.862995
2.694048,24,10.873298
0.29787,24,10.890267
-1.442009,24,10.8985
0.516548,24,10.910693
0.88008,24,10.920702
1.469716,24,10.930664
1.246111,24,10.940732
0.374505,24,10.950693
1.091757,24,10.960717
-0.12407,24,10.973377
1.286978,24,10.988655
2.944127,24,10.999758
0.574415,24,11.010705
2.270353,24,11.023333
-0.932453,24,11.039748
1.587177,24,11.053165
1.3329,24,11.070728
1.20153,24,11.082404
1.494715,24,11.100332
1.147109,24,11.110723
0.18736,24,11.122373
2.846285,24,11.130691
-1.644837,24,11.150943
1.060642,24,11.16145
-0.899703,24,11.178658
-0.237345,24,11.193851
2.311193,24,11.209693
-1.05226,24,11.220693
-0.95884,24,11.230727
-0.292287,24,11.240804
0.394228,24,11.264434
-0.344951,24,11.272472
-0.044604,24,11.289486
2.21757,24,11.302879
-0.70249,24,11.310724
0.993698,24,11.332602
-0.924263,24,11.340811
0.208711,24,11.356674
0.742404,24,11.371361
0.942913,24,11.380963
-1.071831,24,11.398453
-0.851617,24,11.410694
1.952006,24,11.423326
-0.230224,24,11.440797
2.18266,24,11.450758
1.70141,24,11.460695
1.442433,24,11.4807
-0.737685,24,11.492682
-0.66469,24,11.500713
-0.535273,24,11.510842
-0.582353,24,11.533442
2.124168,24,11.540723
1.717511,24,11.559962
2.076211,24,11.568082
2.549061,24,11.580724
0.58173,24,11.601711
-0.404297,24,11.611849
2.744838,24,11.622325
-1.299146,24,11.641468
0.845671,24,11.654683
1.285577,24,11.659919
4.266246,24,11.680689
0.957112,24,11.690732
1.978327,24,11.70879
0.662931,24,11.722862
0.128599,24,11.730689
2.092941,24,11.750705
-1.779984,24,11.761689
-0.782916,24,11.772368
0.056578,24,11.789711
-0.148245,24,11.800748
1.700335,24,11.810846
-1.270816,24,11.82857
3.509772,24,11.840761
-0.860518,24,11.855667
0.641335,24,11.86908
0.979941,24,11.880703
1.219894,24,11.890814
-0.038631,24,11.910724
1.789419,24,11.921317
2.076305,24,11.930731
-0.187284,24,11.942036
-0.517645,24,11.960932
1.170052,24,11.972334
0.484647,24,11.990384
-0.171436,24,12.000742
0.351747,24,12.01221
0.731529,24,12.029697
3.051456,24,12.045436
2.292409,24,12.06072
-1.614756,24,12.072943
1.937561,24,12.08968
1.219976,24,12.099695
1.264128,24,12.110698
-0.286644,24,12.12836
0.452791,24,12.140812
0.743094,24,12.152028
1.495923,24,12.160677
2.119492,24,12.180637
0.597776,24,12.190691
-0.301793,24,12.199685
0.841986,24,12.206564
-0.527911,24,12.222324
0.468457,24,12.230719
0.169075,24,12.248433
1.949945,24,12.264645
-1.044152,24,12.280725
0.806494,24,12.291759
-1.286268,24,12.310972
0.039661,24,12.323275
-0.42976,24,12.340799
-0.640664,24,12.350735
1.969243,24,12.363437
1.859226,24,12.372297
-0.873022,24,12.390789
-0.170918,24,12.405611
0.58567,24,12.419296
2.271834,24,12.430082
-0.147887,24,12.440779
2.887284,24,12.460103
0.925311,24,12.473572
0.502206,24,12.486009
0.639035,24,12.500743
1.395887,24,12.515173
1.17967,24,12.528589
2.779776,24,12.543104
0.324144,24,12.561267
-0.459824,24,12.5787
2.546329,24,12.589708
-0.948981,24,12.59877
-0.862575,24,12.618645
1.918866,24,12.630727
0.416541,24,12.640961
0.665649,24,12.65982
1.035612,24,12.674392
0.945712,24,12.689608
0.544498,24,12.690778
0.534639,24,12.708704
1.115221,24,12.712299
1.967795,24,12.72275
1.671784,24,12.730682
2.165406,24,12.740712
1.687627,24,12.754572
2.236064,24,12.760668
0.271951,24,12.772884
-1.416231,24,12.778449
1.349155,24,12.790678
0.267793,24,12.800664
1.4912,24,12.809786
0.530384,24,12.818553
1.353951,24,12.830657
-0.076308,24,12.84149
2.942287,24,12.848624
3.008022,24,12.857296
-0.730884,24,12.86966
-0.603664,24,12.878804
1.421945,24,12.889704
-0.535585,24,12.891249
1.639859,24,12.910663
2.542751,24,12.910663
0.51717,24,12.928906
1.762416,24,12.939748
-1.103953,24,12.950725
0.628935,24,12.960693
-0.288029,24,12.972293
-0.061718,24,12.986376
-0.824776,24,12.99903
0.993684,24,13.009693
1.188511,24,13.021283
1.801345,24,13.030957
1.163904,24,13.040766
-0.525672,24,13.059691
0.896339,24,13.072208
-0.261407,24,13.080698
1.702662,24,13.090662
0.668817,24,13.105938
-1.978505,24,13.110718
0.970514,24,13.122308
0.244498,24,13.13976
1.648006,24,13.150693
-0.173623,24,13.160701
-0.358336,24,13.173242
0.025622,24,13.192997
0.178409,24,13.204609
1.821212,24,13.210726
-7.2e-05,24,13.222273
-1.070247,24,13.236307
-0.17342,24,13.240659
-1.883541,24,13.256532
1.125392,24,13.267455
1.418129,24,13.279663
1.62021,24,13.285748
-0.041975,24,13.291509
1.075788,24,13.306545
0.868205,24,13.311248
1.189957,24,13.323304
-1.097522,24,13.333397
-0.119449,24,13.340704
-1.857269,24,13.35759
1.159678,24,13.37167
-1.694499,24,13.38073
1.627349,24,13.391581
0.958474,24,13.410698
1.296705,24,13.422936
-1.146447,24,13.436049
1.327151,24,13.440822
0.826744,24,13.460724
0.415413,24,13.47226
0.664016,24,13.490854
1.343172,24,13.505583
1.835786,24,13.520823
-0.43213,24,13.530728
2.087456,24,13.540773
-0.760087,24,13.556717
-1.568928,24,13.57349
0.185182,24,13.580731
0.597899,24,13.589688
1.918278,24,13.609723
2.609917,24,13.623315
1.557728,24,13.641256
-1.102647,24,13.650728
2.001163,24,13.664496
1.809706,24,13.680702
-0.549217,24,13.690723
1.158061,24,13.700698
-0.498309,24,13.718894
-1.300885,24,13.730702
-1.308427,24,13.740807
1.927423,24,13.759697
1.395756,24,13.772315
3.15582,24,13.789695
0.820691,24,13.800697
0.564854,24,13.810843
0.336537,24,13.824412
0.231004,24,13.840767
2.353899,24,13.854582
-0.140358,24,13.859792
1.891518,24,13.873202
1.203014,24,13.898591
2.753543,24,13.910732
-1.042816,24,13.924843
1.116682,24,13.93979
1.06302,24,13.950749
2.747699,24,13.9607
1.918894,24,13.973196
2.017348,24,13.989826
0.428587,24,14.000728
1.988957,24,14.010701
1.426097,24,14.032211
1.980737,24,14.040802
-1.273695,24,14.061467
-0.722522,24,14.072237
0.00917,24,14.085649
-1.178431,24,14.0907
1.689058,24,14.110724
0.37357,24,14.122255
2.001796,24,14.138664
1.170965,24,14.150729
1.445313,24,14.16073
-0.899202,24,14.179671
-0.625869,24,14.189763
1.256641,24,14.202501
-0.221364,24,14.210688
1.730316,24,14.222146
1.021553,24,14.229742
0.520673,24,14.237842
1.631861,24,14.241821
-0.496531,24,14.255439
-0.498632,24,14.260673
2.517951,24,14.269656
0.418372,24,14.278543
-0.154513,24,14.28784
-0.213115,24,14.29229
2.299936,24,14.305545
0.015967,24,14.31853
1.325473,24,14.32878
2.271079,24,14.337837
1.511064,24,14.341216
0.941484,24,14.358631
1.324074,24,14.360667
2.606677,24,14.373123
1.656875,24,14.387869
1.21331,24,14.399755
1.425521,24,14.410715
2.302167,24,14.421199
2.059718,24,14.430708
1.01196,24,14.441195
0.924369,24,14.458781
1.364946,24,14.471154
1.464104,24,14.478773
-0.157427,24,14.490718
0.393356,24,14.509696
1.010987,24,14.524664
0.734487,24,14.535834
0.027575,24,14.549944
-0.591732,24,14.560693
-1.336068,24,14.572096
2.154809,24,14.590715
1.312412,24,14.606587
-0.147952,24,14.610729
0.218498,24,14.628842
-0.292886,24,14.640671
1.826344,24,14.656535
1.018907,24,14.668881
